Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA21,20SD,upper_band,lower_band,EMA,CS
2004-07-26,4.875,4.9,4.825,4.825,3.690371,25678000.0,4.882142857142857,5.067857142857143,0.18182191981803456,5.431500982493212,4.704213303221074,4.850671071493902,0
2004-07-27,4.8,4.85,4.8,4.825,3.690371,8009000.0,4.892857142857143,5.0511904761904765,0.18718833746847188,5.42556715112742,4.676813801253533,4.833557023830756,0
2004-07-28,4.85,4.85,4.8,4.8,3.671251,3636000.0,4.867857142857143,5.033333333333333,0.1847117241883459,5.402756781710025,4.663909884956642,4.811185674610013,0
2004-07-29,4.8,4.85,4.8,4.825,3.690371,9401000.0,4.857142857142857,5.010714285714285,0.17719952328556515,5.365113332285415,4.656315239143155,4.820395224870037,0
2004-07-30,4.825,5.0,4.825,5.0,3.824219,30637000.0,4.867857142857143,4.996428571428571,0.1646567402363569,5.325742051901285,4.667115090955857,4.940131741623486,1
2004-08-02,4.95,5.0,4.9,5.0,3.824219,18628000.0,4.882142857142857,4.983333333333333,0.1545951844419209,5.292523702217175,4.674142964449492,4.980043913874511,0
2004-08-03,5.0,5.1,4.95,5.1,3.900703,32990000.0,4.910714285714286,4.977380952380952,0.1482962451169598,5.273973442614872,4.680788462147032,5.060014637958181,0
2004-08-04,5.075,5.075,4.975,5.05,3.862461,12945000.0,4.942857142857143,4.970238095238095,0.1393771388790328,5.2489923729961605,4.691483817480029,5.053338212652727,0
2004-08-05,5.0,5.05,4.975,4.975,3.805099,9394000.0,4.964285714285714,4.95952380952381,0.12989747981834682,5.219318769160504,4.699728849887116,5.0011127375509075,0
2004-08-06,4.975,5.025,4.95,5.025,3.84334,5884000.0,4.996428571428572,4.9523809523809526,0.12010822970182013,5.192597411784593,4.712164492977312,5.0170375791836355,0
2004-08-09,4.975,5.05,4.95,5.0,3.824219,9131000.0,5.021428571428571,4.944047619047619,0.1079412608295531,5.159930140706725,4.728165097388513,5.005679193061211,0
2004-08-10,5.0,5.025,4.95,5.025,3.84334,3945000.0,5.0249999999999995,4.936904761904762,0.09783007556069072,5.132564913026143,4.74124461078338,5.018559731020404,0
2004-08-11,5.05,5.05,4.975,4.975,3.805099,6425000.0,5.021428571428571,4.928571428571429,0.09843345334205252,5.1254383352555335,4.731704521887324,4.989519910340134,0
2004-08-12,4.975,5.025,4.975,5.025,3.84334,6494000.0,5.010714285714285,4.933333333333333,0.09576561299119256,5.124864559315718,4.7418021073509475,5.013173303446712,0
2004-08-13,5.0,5.075,5.0,5.05,3.862461,5652000.0,5.010714285714286,4.9452380952380945,0.08758454562066792,5.12040718647943,4.770069003996759,5.037724434482237,0
2004-08-16,5.2,5.2,5.025,5.075,3.881582,20109000.0,5.0249999999999995,4.960714285714285,0.09155096366160397,5.143816213037494,4.777612358391077,5.06257481149408,0
2004-08-17,5.075,5.15,5.075,5.125,3.919823,13369000.0,5.039285714285714,4.967857142857143,0.09742574770454353,5.16270863826623,4.773005647448056,5.10419160383136,0
2004-08-18,5.1,5.175,5.075,5.15,3.938946,7745000.0,5.060714285714286,4.979761904761905,0.1045353125931485,5.188832529948202,4.770691279575608,5.134730534610454,0
2004-08-19,5.175,5.25,5.175,5.25,4.01543,28909000.0,5.0928571428571425,4.995238095238095,0.11837718485728892,5.231992464952673,4.758483725523518,5.211576844870152,0
2004-08-20,5.225,5.25,5.2,5.2,3.977187,4362784.0,5.125,5.0095238095238095,0.1239163554898814,5.257356520503572,4.761691098544047,5.20385894829005,0
2004-08-23,5.2,5.225,5.1,5.125,3.919823,12229000.0,5.139285714285714,5.020238095238096,0.11770838185063408,5.255654858939364,4.784821331536827,5.151286316096684,0
2004-08-24,5.1,5.1,4.975,5.05,3.862461,24529000.0,5.139285714285714,5.030952380952381,0.10738365797457244,5.245719696901526,4.816185065003236,5.083762105365561,0
2004-08-25,5.0,5.2,5.0,5.0,3.824219,12427000.0,5.128571428571428,5.039285714285715,0.09193640536576847,5.223158525017252,4.8554129035541775,5.027920701788521,0
2004-08-26,5.225,5.3,5.05,5.05,3.862461,33784000.0,5.117857142857143,5.0511904761904765,0.07499999999999966,5.201190476190476,4.901190476190477,5.042640233929506,0
2004-08-27,5.075,5.125,5.025,5.025,3.84334,18005000.0,5.1000000000000005,5.060714285714286,0.07410652006260597,5.208927325839498,4.912501245589074,5.030880077976502,0
2004-08-30,5.025,5.15,5.025,5.075,3.881582,10894000.0,5.075,5.064285714285714,0.07259295311602369,5.209471620517761,4.919099808053667,5.0602933593255015,0
2004-08-31,5.075,5.125,5.05,5.1,3.900703,7145300.0,5.060714285714285,5.069047619047619,0.07259295311602369,5.214233525279666,4.9238617128155715,5.086764453108501,0
2004-09-01,5.075,5.125,5.05,5.075,3.881582,14133000.0,5.053571428571429,5.067857142857143,0.07249092502186923,5.212838992900881,4.922875292813405,5.0789214843695,0
2004-09-02,5.075,5.25,5.05,5.2,3.977187,32772200.0,5.075,5.074999999999999,0.07460421887322569,5.224208437746451,4.925791562253548,5.1596404947898336,1
2004-09-03,5.175,5.275,5.125,5.25,4.01543,42047000.0,5.110714285714286,5.088095238095238,0.08242819841981748,5.252951634934873,4.9232388412556025,5.219880164929944,0
2004-09-06,5.25,5.25,5.175,5.2,3.977187,24242000.0,5.132142857142857,5.096428571428571,0.0829057010292891,5.262239973487149,4.9306171693699925,5.206626721643315,0
2004-09-07,5.2,5.525,5.175,5.5,4.20664,132917000.0,5.200000000000001,5.120238095238095,0.11975852897876586,5.359755153195627,4.880721037280564,5.402208907214438,1
2004-09-08,5.525,5.625,5.45,5.575,4.264005,90462000.0,5.271428571428571,5.146428571428571,0.15122308372940843,5.448874738887389,4.843982403969754,5.51740296907148,0
2004-09-09,5.525,5.65,5.5,5.5,4.20664,48849000.0,5.328571428571429,5.171428571428571,0.16628190236051468,5.503992376149601,4.838864766707541,5.505800989690493,0
2004-09-10,5.45,5.525,5.375,5.45,4.168397,44665000.0,5.382142857142857,5.191666666666667,0.17386379272595204,5.539394252118571,4.843939081214764,5.468600329896831,0
